Name,Site_EPA_ID,Listing_Date,Site_Score,City,State,Latitude,Longitude
Swope Oil & Chemical Co.,NJD041743220,19830908,35.68,Pennsauken Township,NJ,39.9886,-75.0347
Syncon Resins,NJD064263817,19830908,43.43,South Kearny,NJ,40.737781,-74.114719
Ciba-Geigy Corp.,NJD001502517,19830908,50.33,Toms River,NJ,39.9867,-74.2363
Universal Oil Products (Chemical Division),NJD002005106,19830908,54.63,East Rutherford,NJ,40.83,-74.088889
U.S. Radium Corp.,NJD980654172,19830908,37.79,Orange,NJ,40.781389,-74.228611
Williams Property,NJD980529945,19830908,40.45,Swainton,NJ,39.1173,-74.8004
Woodland Route 72 Dump,NJD980505879,19840921,31.17,Woodland Township,NJ,39.821669,-74.447781
"Chemical Leaman Tank Lines, Inc.",NJD047321443,19840921,47.53,Bridgeport,NJ,39.798331,-75.332781
De Rewal Chemical Co.,NJD980761373,19840921,35.72,Kingwood Township,NJ,40.5162,-75.0614
Diamond Alkali Co.,NJD980528996,19840921,35.40,Newark,NJ,40.739719,-74.136111
Ewan Property,NJD980761365,19840921,50.19,Shamong Township,NJ,39.802781,-74.719439
Landfill & Development Co.,NJD048044325,19840921,33.62,Mount Holly,NJ,39.980561,-74.770839
Nascolite Corp.,NJD002362705,19840921,51.13,Millville,NJ,39.422219,-75.032781
"Radiation Technology, Inc.",NJD047684451,19840921,42.56,Rockaway Township,NJ,40.970831,-74.50555
Shieldalloy Corp.,NJD002365930,19840921,58.75,Newfield Borough,NJ,39.543061,-75.022219
Woodland Route 532 Dump,NJD980505887,19840921,34.98,Woodland Township,NJ,39.829169,-74.492231
"Vineland Chemical Co., Inc.",NJD002385664,19840921,59.16,Vineland,NJ,39.510281,-75.056661
Ventron/Velsicol,NJD980529879,19840921,51.38,Woodridge Borough,NJ,40.84,-74.079439
Cinnaminson Township (Block 702) Ground Water Contamination,NJD980785638,19860610,37.93,Cinnaminson Township,NJ,40.0175,-74.9862
Fried Industries,NJD041828906,19860610,33.61,East Brunswick Township,NJ,40.4424,-74.4412
"Waldick Aerospace Devices, Inc.",NJD054981337,19860610,44.86,Wall Township,NJ,40.143,-74.0613
Naval Weapons Station Earle (Site A),NJ0170022172,19900830,29.65,Colts Neck,NJ,40.264581,-74.162919
Naval Air Engineering Center,NJ7170023744,19870722,50.53,Lakehurst,NJ,40.029719,-74.369161
"Monitor Devices, Inc./Intercircuits, Inc.",NJD980529408,19860610,41.93,Wall Township,NJ,40.185281,-74.119719
Dayco Corp./L.E. Carpenter Co.,NJD002168748,19870722,46.13,Wharton Borough,NJ,40.903331,-74.5775
Cosden Chemical Coatings Corp.,NJD000565531,19870722,33.86,Beverly,NJ,40.058183,-74.925899
"Curcio Scrap Metal, Inc.",NJD011717584,19870722,34.37,Saddle Brook Township,NJ,40.8907,-74.1035
Brook Industrial Park,NJD078251675,19891004,58.12,Bound Brook,NJ,40.560139,-74.536111
Pohatcong Valley Ground Water Contamination,NJD981179047,19890331,28.90,Warren County,NJ,40.75,-75
American Thermostat Co.,NYD002066330,19830908,33.61,South Cairo,NY,42.266939,-73.941111
Brewster Well Field,NYD980652275,19830908,37.93,Brewster,NY,41.401669,-73.6
"Facet Enterprises, Inc.",NYD073675514,19830908,46.67,Elmira,NY,42.1325,-76.829169
Fulton Terminals,NYD980593099,19830908,36.50,Fulton,NY,43.3569,-76.4274
GE Moreau,NYD980528335,19830908,58.21,South Glens Falls,NY,43.28305,-73.629169
Hooker (S Area),NYD980651087,19830908,51.62,Niagara Falls,NY,43.0757,-79.0054
Kentucky Avenue Well Field,NYD980650667,19830908,39.65,Horseheads,NY,42.145831,-76.828331
"Mercury Refining, Inc.",NYD048148175,19830908,44.58,Colonie,NY,42.689719,-73.804169
Old Bethpage Landfill,NYD980531727,19830908,58.83,Oyster Bay,NY,40.756939,-73.447219
Olean Well Field,NYD980528657,19830908,44.46,Olean,NY,42.069439,-78.404719
Pollution Abatement Services,NYD000511659,19830908,,Oswego,NY,43.47,-76.483331
Port Washington Landfill,NYD980654206,19830908,45.46,Port Washington,NY,40.81805,-73.666661
Ramapo Landfill,NYD000511493,19830908,44.73,Ramapo,NY,41.14,-74.161389
Sinclair Refinery,NYD980535215,19830908,53.90,Wellsville,NY,42.1088,-77.9416
Solvent Savers,NYD980421176,19830908,34.78,Lincklaen,NY,42.665,-75.876661
York Oil Co.,NYD000511733,19830908,47.70,Moira,NY,44.8225,-74.5751
General Motors (Central Foundry Division),NYD091972554,19840921,40.71,Massena,NY,44.983889,-74.732781
Hudson River PCBs,NYD980763841,19840921,54.66,Hudson River,NY,43.1102,-73.5765
Vestal Water Supply Well 1-1,NYD980763767,19830908,37.93,Vestal,NY,42.0902,-76.0557
Sarney Farm,NYD980535165,19860610,33.20,Amenia,NY,41.75555,-73.561389
Hooker Chemical & Plastics Corp./Ruco Polymer Corp.,NYD002920312,19860610,41.60,Hicksville,NY,40.7575,-73.504169
"Mattiace Petrochemical Co., Inc.",NYD000512459,19890331,31.90,Glen Cove,NY,40.8608,-73.6432
Carroll & Dubies Sewage Disposal,NYD010968014,19900221,33.74,Port Jervis,NY,41.3942,-74.6681
Cortese Landfill,NYD980528475,19860610,32.11,Village of Narrowsburg,NY,41.600561,-75.065
Liberty Industrial Finishing,NYD000337295,19860610,50.65,Farmingdale,NY,40.72625,-73.448889
Johnstown City Landfill,NYD980506927,19860610,48.36,Town of Johnstown,NY,43.043061,-74.393061
Volney Municipal Landfill,NYD980509376,19860610,32.89,Town of Volney,NY,43.36055,-76.379169
Claremont Polychemical,NYD002044584,19860610,31.62,Old Bethpage,NY,40.7576,-73.4432
"Tri-Cities Barrel Co., Inc.",NYD980509285,19891004,44.06,Port Crane,NY,42.15805,-75.811939
Endicott Village Well Field,NYD980780746,19860610,35.57,Village of Endicott,NY,42.086111,-76.086111
Applied Environmental Services,NYD980535652,19860610,41.15,Glenwood Landing,NY,40.823054,-73.646693
Colesville Municipal Landfill,NYD980768691,19860610,30.26,Town of Colesville,NY,42.160419,-75.58945
"Goldisc Recordings, Inc.",NYD980768717,19860610,33.39,Holbrook,NY,40.7745,-73.0647
Hertel Landfill,NYD980780779,19860610,33.62,Plattekill,NY,41.688061,-74.038889
Preferred Plating Corp.,NYD980768774,19860610,35.06,Farmingdale,NY,40.7158,-73.4253
"Nepera Chemical Co., Inc.",NYD000511451,19860610,39.87,Maybrook,NY,41.4643,-74.2447
Byron Barrel & Drum,NYD980780670,19860610,37.27,Byron,NY,43.1191,-78.1103
FMC Corp. (Dublin Road Landfill),NYD000511857,19860610,32.90,Town of Shelby,NY,43.2172,-78.4417
"Robintech, Inc./National Pipe Co.",NYD002232957,19860610,30.75,Town of Vestal,NY,42.1049,-75.9922
Haviland Complex,NYD980785661,19860610,33.62,Town of Hyde Park,NY,41.771111,-73.908061
Griffiss Air Force Base,NY4571924451,19870722,34.20,Rome,NY,43.233331,-75.416661
Richardson Hill Road Landfill/Pond,NYD980507735,19870722,34.86,Sidney Center,NY,42.252781,-75.249169
Malta Rocket Fuel Area,NYD980535124,19870722,33.62,Malta,NY,42.963889,-73.758331
Genzale Plating Co.,NYD002050110,19870722,33.79,Franklin Square,NY,40.7153,-73.6777
Rowe Industries Ground Water Contamination,NYD981486954,19870722,31.94,"Noyack, Sag Harbor",NY,40.982781,-72.3
Islip Municipal Sanitary Landfill,NYD980506901,19890331,33.39,Islip,NY,40.8178,-73.1829
Juncos Landfill,PRD980512362,19830908,32.57,Juncos,PR,18.2232,-65.9087
Vega Alta Public Supply Wells,PRD980763775,19840921,42.24,Vega Alta,PR,18.418061,-66.330281
Upjohn Facility,PRD980301154,19840921,41.92,Barceloneta,PR,18.4292,-66.5901
Fibers Public Supply Wells,PRD980763783,19840921,35.34,Jobos,PR,17.9632,-66.1461
Army Creek Landfill,DED980494496,19830908,69.92,New Castle County,DE,39.653061,-75.608331
Delaware Sand & Gravel Landfill,DED000605972,19830908,46.60,New Castle County,DE,39.651389,-75.602781
Delaware City PVC Plant,DED980551667,19830908,30.55,Delaware City,DE,39.586111,-75.649439
"Harvey & Knott Drum, Inc.",DED980713093,19830908,30.77,Kirkwood,DE,39.573331,-75.770839
Tybouts Corner Landfill,DED000606079,19830908,,New Castle County,DE,39.6125,-75.653339
NCR Corp. (Millsboro Plant),DED043958388,19870722,38.21,Millsboro,DE,38.5775,-75.283061
Halby Chemical Co.,DED980830954,19860610,30.90,New Castle,DE,39.718611,-75.537219
"Standard Chlorine of Delaware, Inc.",DED041212473,19870722,35.42,Delaware City,DE,39.599581,-75.635831
Dover Gas Light Co.,DED980693550,19891004,35.57,Dover,DE,39.1558,-75.5277
"E.I. du Pont de Nemours & Co., Inc. (Newport Pigment Plant Landfill)",DED980555122,19900221,51.91,Newport,DE,39.708331,-75.609169
Limestone Road,MDD980691588,19830908,30.54,Cumberland,MD,39.626389,-78.722219
"Sand, Gravel and Stone",MDD980705164,19830908,41.08,Elkton,MD,39.615281,-75.896389
Kane & Lombard Street Drums,MDD980923783,19860610,30.15,Baltimore,MD,39.2956,-76.5419
Aberdeen Proving Ground (Michaelsville Landfill),MD3210021355,19891004,31.09,Aberdeen,MD,39.4606,-76.1414
Aberdeen Proving Ground (Edgewood Area),MD2210020036,19900221,53.57,Edgewood,MD,39.395404,-76.30773
Woodlawn County Landfill,MDD980504344,19870722,48.13,Woodlawn,MD,39.641669,-76.09
Bush Valley Landfill,MDD980504195,19890331,40.30,Abingdon,MD,39.467219,-76.26195
Blosenski Landfill,PAD980539985,19830908,30.57,West Caln Township,PA,40.02,-75.91055
Centre County Kepone,PAD000436261,19830908,45.09,State College Borough,PA,40.823611,-77.808331
Douglassville Disposal,PAD002384865,19830908,55.18,Douglassville,PA,40.2575,-75.735281
Drake Chemical,PAD003058047,19830908,38.52,Lock Haven,PA,41.129169,-77.443611
Fischer & Porter Co.,PAD002345817,19830908,29.07,Warminster,PA,40.183889,-75.0925
Havertown PCP,PAD002338010,19830908,38.34,Haverford,PA,39.982781,-75.318611
Heleva Landfill,PAD980537716,19830908,50.23,North Whitehall Township,PA,40.670831,-75.5625
Kimberton,PAD980691703,19830908,29.44,Kimberton Borough,PA,40.12695,-75.575
Lindane Dump,PAD980712798,19830908,51.62,Harrison Township,PA,40.6257,-79.7155
Lord-Shope Landfill,PAD980508931,19830908,38.89,Girard Township,PA,41.977781,-80.3525
Malvern TCE,PAD014353445,19830908,46.69,Malvern,PA,40.061669,-75.56805
Metal Banks,PAD046557096,19830908,33.23,Philadelphia,PA,40.024169,-75.027781
Mill Creek Dump,PAD980231690,19840921,49.31,Erie,PA,42.093331,-80.152781
Old City of York Landfill,PAD980692420,19830908,33.93,Seven Valleys,PA,39.840281,-76.759719
Osborne Landfill,PAD980712673,19830908,54.60,Grove City,PA,41.161111,-80.058331
Palmerton Zinc Pile,PAD002395887,19830908,42.93,Palmerton,PA,40.808331,-75.583339
Stanley Kessler,PAD014269971,19830908,33.89,King of Prussia,PA,40.083889,-75.355
Berks Sand Pit,PAD980691794,19840921,32.02,Longswamp Township,PA,40.4646,-75.6273
Dorney Road Landfill,PAD980508832,19840921,46.10,Upper Macungie Township,PA,40.527781,-75.654169
East Mount Zion,PAD980690549,19840921,41.01,Springettsbury Township,PA,40.0075,-76.665281
Henderson Road,PAD009862939,19840921,41.69,Upper Merion Township,PA,40.086939,-75.35555
Walsh Landfill,PAD980829527,19840921,33.64,Honeybrook Township,PA,40.119719,-75.915281
Raymark,PAD039017694,19891004,53.42,Hatboro,PA,40.179719,-75.098611
Industrial Lane,PAD980508493,19840921,42.47,Williams Township,PA,40.665831,-75.228611
Tysons Dump,PAD980692024,19840921,63.10,Upper Merion Township,PA,40.111389,-75.362781
Letterkenny Army Depot (SE Area),PA6213820503,19870722,34.21,Chambersburg,PA,39.9957,-77.6444
Modern Sanitation Landfill,PAD980539068,19860610,33.93,Lower Windsor Township,PA,39.960561,-76.5925
MW Manufacturing,PAD980691372,19860610,46.44,Valley Township,PA,40.99,-76.641669
Brown's Battery Breaking,PAD980831812,19860610,37.34,Shoemakersville,PA,40.519439,-76.001389
Hunterstown Road,PAD980830897,19860610,48.27,Straban Township,PA,39.85305,-77.206111
Westinghouse Elevator Co. Plant,PAD043882281,19860610,36.37,Cumberland Township,PA,39.857219,-77.24
Whitmoyer Laboratories,PAD003005014,19860610,46.25,Jackson Township,PA,40.364719,-76.325
"Delta Quarries & Disposal, Inc./Stotler Landfill",PAD981038052,19890331,41.08,"Antis Township, Logan Township",PA,40.553611,-78.35445
Shriver's Corner,PAD980830889,19860610,46.13,Straban Township,PA,39.8999,-77.2055
Keystone Sanitation Landfill,PAD054142781,19870722,33.76,Union Township,PA,39.72445,-77.036111
Croydon TCE,PAD981035009,19860610,31.60,Croydon,PA,40.084934,-74.8892
Revere Chemical Co.,PAD051395499,19870722,31.31,Nockamixon Township,PA,40.502781,-75.168889
Bendix Flight Systems Division,PAD003047974,19870722,33.74,Bridgewater Township,PA,41.797361,-75.88625
C & D Recycling,PAD021449244,19870722,43.92,Foster Township,PA,41.031389,-75.841669
Bally Ground Water Contamination,PAD061105128,19870722,37.93,Bally Borough,PA,40.3984,-75.5933
"CryoChem, Inc.",PAD002360444,19891004,28.58,Worman,PA,40.317219,-75.691669
Eastern Diversified Metals,PAD980830533,19891004,31.02,Hometown,PA,40.829439,-75.9975
Naval Air Development Center (8 Waste Areas),PA6170024545,19891004,57.93,Warminster Township,PA,40.1996,-75.0642
Hellertown Manufacturing Co.,PAD002390748,19890331,51.91,Hellertown,PA,40.595417,-75.340947
Novak Sanitary Landfill,PAD079160842,19891004,42.31,South Whitehall Township,PA,40.6332,-75.5611
Commodore Semiconductor Group,PAD093730174,19891004,42.35,Lower Providence Township,PA,40.1241,-75.4194
Saegertown Industrial Area,PAD980692487,19900221,33.62,Saegertown,PA,41.71884,-80.142972
Avco Lycoming (Williamsport Division),PAD003053709,19900221,42.24,Williamsport,PA,41.244031,-77.041111
Bell Landfill,PAD980705107,19891004,34.79,Terry Township,PA,41.633061,-76.389169
William Dick Lagoons,PAD980537773,19870722,36.64,West Caln Township,PA,40.041939,-75.898061
Chisman Creek,VAD980712913,19830908,47.19,York County,VA,37.177,-76.4631
Saltville Waste Disposal Ponds,VAD003127578,19830908,29.52,Saltville,VA,36.883339,-81.783331
U.S. Titanium,VAD980705404,19830908,34.78,Piney River,VA,37.708331,-79.016669
"Avtex Fibers, Inc.",VAD070358684,19860610,35.39,Front Royal,VA,38.925561,-78.211669
L.A. Clarke & Son,VAD007972482,19860610,34.24,Spotsylvania County,VA,38.236111,-77.4325
Defense General Supply Center (DLA),VA3971520751,19870722,33.85,Chesterfield County,VA,37.4189,-77.4485
First Piedmont Corp. Rock Quarry (Route 719),VAD980554984,19870722,30.16,Pittsylvania County,VA,36.665831,-79.348611
"Atlantic Wood Industries, Inc.",VAD990710410,19900221,37.14,Portsmouth,VA,36.8065,-76.299
Saunders Supply Co.,VAD003117389,19891004,36.88,Chuckatuck,VA,36.86055,-76.581669
"Rentokil, Inc. (Virginia Wood Preserving Division)",VAD071040752,19890331,30.34,Richmond,VA,37.635831,-77.503611
"C & R Battery Co., Inc.",VAD049957913,19870722,46.44,Chesterfield County,VA,37.418,-77.415
Greenwood Chemical Co.,VAD003125374,19870722,53.17,Newtown,VA,38.044719,-78.786389
"H & H Inc., Burn Pit",VAD980539878,19890331,33.71,Farrington,VA,37.7243,-77.5857
"Fike Chemical, Inc.",WVD047989207,19830908,36.30,Nitro,WV,38.426669,-81.8425
West Virginia Ordnance (USARMY),WVD980713036,19830908,,Point Pleasant,WV,38.926389,-82.076389
Ordnance Works Disposal Areas,WVD000850404,19860610,35.62,Morgantown,WV,39.603331,-79.979719
Perdido Ground Water Contamination,ALD980728703,19830908,30.29,Perdido,AL,31.0125,-87.625
Triana/Tennessee River,ALD983166299,19830908,61.42,"Limestone, Morgan",AL,34.508888,-86.638194
Ciba-Geigy Corp. (McIntosh Plant),ALD001221902,19840921,53.42,McIntosh,AL,31.279,-87.9955
Olin Corp. (McIntosh Plant),ALD008188708,19840921,39.71,McIntosh,AL,31.263889,-87.99445
Stauffer Chemical Co. (LeMoyne Plant),ALD008161176,19840921,32.34,Axis,AL,30.969439,-88.0175
Stauffer Chemical Co. (Cold Creek Plant),ALD095688875,19840921,46.77,Bucks,AL,30.975,-88.021389
Alabama Army Ammunition Plant,AL6210020008,19870722,36.83,Childersburg,AL,33.3381,-86.3268
Interstate Lead Co. (ILCO),ALD041906173,19860610,42.86,Leeds,AL,33.688889,-86.633333
American Creosote Works (Pensacola Plant),FLD008161994,19830908,58.41,Pensacola,FL,30.404719,-87.236661
Florida Steel Corp.,FLD050432251,19830908,45.92,Indiantown,FL,27.041111,-80.506111
Hollingsworth Solderless Terminal,FLD004119681,19830908,44.53,Fort Lauderdale,FL,26.198331,-80.152219
Miami Drum Services,FLD076027820,19830908,53.56,Miami,FL,25.837219,-80.313061
Pickettville Road Landfill,FLD980556351,19830908,42.94,Jacksonville,FL,30.368611,-81.738889
Reeves Southeastern Galvanizing Corp.,FLD000824896,19830908,58.75,Tampa,FL,27.9725,-82.341939
Sapp Battery Salvage,FLD980602882,19830908,47.70,Cottondale,FL,30.728331,-85.3925
Sherwood Medical Industries,FLD043861392,19830908,39.83,Deland,FL,29.060831,-81.265
Taylor Road Landfill,FLD980494959,19830908,51.37,Seffner,FL,28.009719,-82.29305
Tower Chemical Co.,FLD004065546,19830908,44.03,Clermont,FL,28.551389,-81.684719
Whitehouse Oil Pits,FLD980602767,19830908,52.58,Whitehouse,FL,30.3201,-81.8513
Zellwood Ground Water Contamination,FLD049985302,19830908,51.91,Zellwood,FL,28.73195,-81.613331
Cabot/Koppers,FLD980709356,19840921,36.69,Gainesville,FL,29.675,-82.323061
Peak Oil Co./Bay Drum Co.,FLD004091807,19860610,58.15,Tampa,FL,27.9708,-82.3404
"Pepper Steel & Alloys, Inc.",FLD032544587,19840921,31.92,Medley,FL,25.873611,-80.353331
Sydney Mine Sludge Ponds,FLD000648055,19891004,38.93,Brandon,FL,27.929166,-82.209166
Wingate Road Municipal Incinerator Dump,FLD981021470,19891004,31.72,Fort Lauderdale,FL,26.1444,-80.1847
Piper Aircraft Corp./Vero Beach Water & Sewer Department,FLD004054284,19900221,31.13,Vero Beach,FL,27.647499,-80.415555
Harris Corp. (Palm Bay Plant),FLD000602334,19870722,35.57,Palm Bay,FL,28.030281,-80.601389
Petroleum Products Corp.,FLD980798698,19870722,40.11,Pembroke Park,FL,25.9926,-80.1696
"Anodyne, Inc.",FLD981014368,19900221,31.03,North Miami Beach,FL,25.923189,-80.221531
Airco Plating Co.,FLD004145140,19900221,42.47,Miami,FL,25.8152,-80.2559
Hercules 009 Landfill,GAD980556906,19840921,52.58,Brunswick,GA,31.2049,-81.4858
Robins Air Force Base (Landfill #4/Sludge Lagoon),GA1570024330,19870722,51.66,Houston County,GA,32.619983,-83.582075
